"","Month","product_analytic_sub_category","week_no","year_month","tot_gmv","tot_units","tot_product_mrp","total_orders","avg_cod","avg_prepaid","avg_early_del","avg_ontime_del","avg_delay_del","Year","Total.Investment","TV","Digital","Sponsorship","Content.Marketing","Online.marketing","X.Affiliates","SEM","Radio","Other","Holiday_week","occurence","avg_gmv","avg_mrp","avg_no_orders","avg_discount","avg_items","avg_order_value","value_visit","NPS","gmv_growth_lead1","gmv_growth_lead2","gmv_growth_lag1","gmv_growth_lag2"
"1",1,"GamingAccessory",27,"2016-1",1600325,1967,4612147,1876,1578,330,1679,83,146,2016,14.84,0.88,0.1,0.84,0.18,4.58,1.48,0.84,0.54,5.42,1,5,821.132773109244,2447.69771908764,4165,46.1960105165401,1.01808848692251,816.672614682637,881.902527075812,47.1,-3.92578532093441,7.18521604353492,NA,NA
"2",1,"GamingAccessory",29,"2016-1",3143754,4088,9322425,3928,3305,680,3390,244,351,2016,14.84,0.88,0.1,0.84,0.18,4.58,1.48,0.84,0.54,5.42,0,5,788.896863237139,2339.37892095358,3985,43.5346807830915,1.01451120162933,783.711494399185,833.003179650239,47.1,11.5650191902015,9.02473918200056,4.08620079180291,NA
"3",1,"GamingAccessory",30,"2016-1",4815207.29756879,5688,13255070.7563147,5353,4353,1118,4434,331,706,2016,14.84,0.88,0.1,0.84,0.18,4.58,1.48,0.84,0.54,5.42,1,5,880.132936861412,2422.78756284311,5471,44.170049999048,1.02204371380534,877.758175988674,939.369351847208,47.1,-2.27695027226244,-11.1406645422684,-10.366169677688,-6.70355139333444
"4",1,"GamingAccessory",31,"2016-1",3083432.5,3679,6192239,3523,2921,664,3075,236,274,2016,14.84,0.88,0.1,0.84,0.18,4.58,1.48,0.84,0.54,5.42,0,5,860.092747559275,1727.26331938633,3585,42.3961097440012,1.01759863752484,850.92653041915,907.425691583284,47.1,-9.07023910397887,-14.4316234703057,2.33000328848329,-8.27769848358463
"5",1,"GamingAccessory",28,"2016-1",3477911,4573,11529984,4374,3717,730,3743,278,426,2016,14.84,0.88,0.1,0.84,0.18,4.58,1.48,0.84,0.54,5.42,0,5,782.080278839667,2592.75556554981,4447,46.053288953094,1.01668952903521,776.613244932175,834.231470376589,47.1,-5.8961821888629,-14.446635973689,9.97499500119741,12.5374160012346
"6",2,"GamingAccessory",33,"2016-2",3074871.80027548,4291,7193227,4115,3416,762,3606,248,324,2016,12.03,0.65,0.48,2.92,0.15,4.97,1.62,1.23,0,0,1,4,735.967400736114,1721.69147917664,4178,45.8817288909763,1.01530984204131,722.305905291733,778.054605332865,50.3,-9.08619223290871,-10.7607886114949,6.265614218433,16.8656039247134
"7",2,"GamingAccessory",34,"2016-2",3881425.82600333,6001,10727411.3253997,5698,4756,1045,4626,483,692,2016,12.03,0.65,0.48,2.92,0.15,4.97,1.62,1.23,0,0,1,4,669.095987933689,1849.2348431994,5801,49.0316200567286,1.01807651807652,669.291526426515,711.405026760141,50.3,-1.8419604455203,13.3139020946007,9.99429289793503,16.8861109532129
"8",2,"GamingAccessory",35,"2016-2",3339683.10034887,5202,7249519,4998,4239,846,4391,233,461,2016,12.03,0.65,0.48,2.92,0.15,4.97,1.62,1.23,0,0,0,4,656.771504493387,1425.667453294,5085,48.374423241969,1.01740696278511,653.619234430213,703.091179020815,50.3,15.440266135011,27.0474239976557,1.87652529928328,12.0583636319325
"9",2,"GamingAccessory",32,"2016-2",3205579.85091675,4354,6144807,4148,3441,787,3667,253,308,2016,12.03,0.65,0.48,2.92,0.15,4.97,1.62,1.23,0,0,1,4,758.178772686081,1453.36021759697,4228,43.4636741786148,1.01928640308582,756.004343679706,805.219756572909,50.3,10.0546873731821,19.0730626426307,-13.3751130796538,-11.7495751611179
"10",3,"GamingAccessory",37,"2016-3",4701073.1403055,5797,8271952.57014915,5529,4355,1279,4449,337,848,2016,20,1.86,0.42,8.32,0.08,3.68,1.24,1.04,0.18,3.18,1,5,834.411278009496,1468.2201934947,5634,45.9043273446003,1.01899077590884,826.860128275119,891.198699583981,49,8.19444903683962,18.2098259032466,-9.13608280862028,-21.2892344815703
"11",3,"GamingAccessory",38,"2016-3",3156142.25056292,3626,5121149,3414,2803,693,2896,195,405,2016,20,1.86,0.42,8.32,0.08,3.68,1.24,1.04,0.18,3.18,0,5,902.786684943626,1464.85955377574,3496,39.440028630155,1.02401874633861,893.110095849321,973.517042123046,49,9.25683060042834,-20.5660744222316,-7.57381650333046,-16.0179491644335
"12",3,"GamingAccessory",39,"2016-3",3232289.00213367,3369,5246655,3209,2284,993,2563,185,529,2016,20,1.86,0.42,8.32,0.08,3.68,1.24,1.04,0.18,3.18,0,5,986.35611905208,1601.05431797376,3277,39.9332198207811,1.02119040199439,984.523803511063,1041.66580797089,49,-27.2961469399818,4.62151663958648,-8.47254176197204,-15.4046634990827
"13",3,"GamingAccessory",36,"2016-3",3081780.25199983,4466,5627955.00183437,4289,3601,755,3798,176,382,2016,20,1.86,0.42,8.32,0.08,3.68,1.24,1.04,0.18,3.18,0,5,717.118903444122,1307.45291694891,5023,46.7284202987189,1.01515763945028,708.153126246259,758.494051800342,49,43.9009244162339,50.6857841076637,37.5442920713548,25.8907944844005
"14",3,"GamingAccessory",40,"2016-3",2126135,2034,3365210,1935,1102,870,1314,110,548,2016,20,1.86,0.42,8.32,0.08,3.68,1.24,1.04,0.18,3.18,0,5,1031.94073121965,1648.90631248215,3501,40.2422370715525,1.02578376794609,1030.85516163688,1106.87025122549,49,4.71495212345165,-1.83038420523457,-30.5077431533729,-4.41736727589915
"15",4,"GamingAccessory",41,"2016-4",3766958.50183975,3595,6026809.00053427,3375,223,3263,644,78,2764,2016,14.2,1.3,0.22,6.08,0,4.12,1.43,1.05,0,0,0,4,1080.59624263905,1728.86087221293,3486,39.5897996055285,1.03288888888889,1075.56624741225,1159.42089930432,51.8,-6.25062247172659,-13.3921949166168,-4.50265413662516,-33.6367391309117
"16",4,"GamingAccessory",42,"2016-4",3082718,3132,5136280,2956,121,2922,441,82,2520,2016,14.2,1.3,0.22,6.08,0,4.12,1.43,1.05,0,0,0,4,1013.05225106802,1687.90009858692,3043,42.1751935407373,1.02943166441137,1001.09136783942,1081.65543859649,51.8,-7.61772785396514,-8.67463439521016,6.66737490586698,1.86451193723849
"17",4,"GamingAccessory",43,"2016-4",1851172,2058,3120502,1946,116,1862,197,48,1733,2016,14.2,1.3,0.22,6.08,0,4.12,1.43,1.05,0,0,0,4,935.880687563195,1577.60465116279,1978,43.3339875467459,1.01644398766701,937.168379582049,987.818569903949,51.8,-1.14405774689574,1.81608604124256,8.24587626717309,15.4630346580464
"18",4,"GamingAccessory",44,"2016-4",5491909,6114,9892330,5667,2350,3610,1384,113,4463,2016,14.2,1.3,0.22,6.08,0,4.12,1.43,1.05,0,0,0,4,925.173672055427,1663.26605080831,6495,44.7606798205238,1.04927302100162,919.361335487345,1028.58661417323,51.8,2.99440147013049,-9.54036436154209,1.1572979032121,9.49860352352665
"19",5,"GamingAccessory",45,"2016-5",3597111,3859,6843533,3714,3094,681,731,73,2971,2016,15.62,0.28,0.16,6.34,0.16,4.74,1.36,1.38,0.22,1,0,5,952.877086092715,1812.85642384106,3775,44.5658699155634,1.01642434033387,948.791935918148,1011.27663761597,47.3,-12.1703370792516,-12.7739122287566,-2.90734392101779,-1.78369264804279
"20",5,"GamingAccessory",46,"2016-5",3823836,4686,7360554,4497,3804,765,876,65,3628,2016,15.62,0.28,0.16,6.34,0.16,4.74,1.36,1.38,0.22,1,0,5,836.908732764281,1610.97701904137,4569,48.4695381143848,1.01601067378252,828.262100659699,880.459590145061,47.3,-0.687211050837838,12.1148769961991,13.8567502988521,10.5465429903701
"21",5,"GamingAccessory",47,"2016-5",3850752.25026399,4763,7590639,4546,3862,771,894,78,3661,2016,15.62,0.28,0.16,6.34,0.16,4.74,1.36,1.38,0.22,1,0,5,831.157403467298,1638.38527951651,4633,49.1104786864756,1.01913770347558,823.493309194308,882.997535029578,47.3,12.8906741845607,12.5931785755203,0.691966319855964,14.6446006638027
"22",5,"GamingAccessory",48,"2016-5",5222573.32665657,5680,9750531,5472,4361,1205,922,112,4532,2016,15.62,0.28,0.16,6.34,0.16,4.74,1.36,1.38,0.22,1,1,5,938.299196309122,1751.80219187927,5566,47.0846127335229,1.0171783625731,931.914152654101,997.245240912082,47.3,-0.263525407381336,-1.62892388969255,-11.4187237144906,-10.8057711168963
"23",5,"GamingAccessory",49,"2016-5",1137392.66666667,1296,1989301,1235,1046,210,233,21,1002,2016,15.62,0.28,0.16,6.34,0.16,4.74,1.36,1.38,0.22,1,0,5,935.826539529593,1632.51648750376,4428,43.9187442652465,1.02004146510021,934.943653621371,988.511430590896,47.3,-1.36900616137505,-0.933826436139922,0.264221698689197,-11.1846727615684
"24",6,"GamingAccessory",50,"2016-6",3626526,4059,6248759,3834,3192,737,678,79,3172,2016,10.7,0.42,0.35,6.25,0,2,0.7,0.92,0,0,0,4,923.01501654365,1590.41969966913,3929,43.645464446702,1.02477829942619,913.117892540428,974.872580645161,50.5,0.44122005497293,7.98412345617108,1.38800807747608,1.65589719468553
"25",6,"GamingAccessory",51,"2016-6",3431151,3824,6050628,3607,3001,700,705,59,2937,2016,10.7,0.42,0.35,6.25,0,2,0.7,0.92,0,0,0,4,927.087543907052,1634.8630099973,3701,43.3037023100437,1.02606043803715,925.787219295814,995.690946024376,50.5,7.50976879519166,11.9250681977637,-0.439281855329359,0.942628954511863
"26",6,"GamingAccessory",52,"2016-6",3157576.25034771,3281,6058602,3100,2564,604,557,57,2554,2016,10.7,0.42,0.35,6.25,0,2,0.7,0.92,0,0,0,4,996.709674983493,1912.4375,3168,41.0745986532874,1.02193548387097,991.403102262701,1046.5947134066,50.5,4.1068820555119,23.9076965938405,-6.98519667500907,-7.39379382878604
"27",6,"GamingAccessory",53,"2016-6",1822101.75029377,1814,3570000,1729,1453,303,331,20,1405,2016,10.7,0.42,0.35,6.25,0,2,0.7,0.92,0,0,0,4,1037.64336577094,2033.02961275626,1756,39.8626585549867,1.01561596298438,1036.09634680573,1074.98628335916,50.5,19.0196979751736,-19.7581999873893,-3.9448708619686,-10.654510548694
"28",7,"GamingAccessory",1,"2015-7",39520,33,105367,32,0,32,7,3,22,2015,4.28,0.05,0.62,1.85,0,0.32,0.12,1.25,0,0,0,4,1235,3292.71875,32,25.7956442226946,1,1235,1235,54.6,-32.5810757565959,-16.3569448769854,-15.9802942695594,-19.2947631592314
"29",7,"GamingAccessory",3,"2015-7",2357990.35919791,3088,5062655,2791,2153,679,2074,264,494,2015,4.28,0.05,0.62,1.85,0,0.32,0.12,1.25,0,0,1,4,832.623714406041,1787.66066384181,2832,40.3219264102639,1.01469007524185,837.861110425621,901.028031791329,54.6,24.0646540443692,8.89851329199615,48.3263061851412,24.6233259775879
"30",7,"GamingAccessory",4,"2015-7",2685778.5,2712,5901155,2556,2001,599,2087,160,353,2015,4.28,0.05,0.62,1.85,0,0.32,0.12,1.25,0,0,0,4,1032.99173076923,2269.675,2600,35.4680272286371,1.01721439749609,1032.55800078247,1123.75669456067,54.6,-12.2243848332089,2.40356663333605,-19.396865472871,19.5556521135306
"31",7,"GamingAccessory",2,"2015-7",2772734,3228,5595339,2909,2251,807,1960,225,873,2015,4.28,0.05,0.62,1.85,0,0.32,0.12,1.25,0,0,0,4,906.714846304774,1829.73806409418,3058,38.5485809597923,1.05122035063596,918.762289446545,1019.01286291804,54.6,16.665165420657,-41.6795696954703,13.9268574876749,-8.17138179667892
"32",8,"GamingAccessory",5,"2015-8",999,1,1700,1,0,1,1,0,0,2015,1.02,0,0.26,0.22,0,0.02,0.02,0.5,0,0,0,5,1057.82037533512,4886.73297587131,1865,40.6145813281447,1.01248642779587,1062.10776330076,1129.27017744705,60,-50.0104164818649,15.2133224522071,-14.2846113152694,-2.34715128814039
"33",8,"GamingAccessory",6,"2015-8",2644,5,8123,5,4,1,5,0,0,2015,1.02,0,0.26,0.22,0,0.02,0.02,0.5,0,0,0,5,528.8,1624.6,5,54.801601588155,1,528.8,528.8,60,130.474659606657,-41.0930408472012,100.041674609516,71.4664989229906
"34",8,"GamingAccessory",7,"2015-8",4875,4,10333,4,3,1,3,0,1,2015,1.02,0,0.26,0.22,0,0.02,0.02,0.5,0,0,1,5,1218.75,2583.25,4,38.5991999141128,1,1218.75,1218.75,60,-74.4410256410256,-52.7589743589744,-56.6112820512821,-13.204482023785
"35",8,"GamingAccessory",8,"2015-8",1246,4,2346,3,4,0,1,2,1,2015,1.02,0,0.26,0.22,0,0.02,0.02,0.5,0,0,1,5,311.5,586.5,4,46.2551958698807,1.33333333333333,295.666666666667,415.333333333333,60,84.8314606741573,202.677225406156,291.252006420546,69.7592295345104
"36",8,"GamingAccessory",9,"2015-8",4606,8,8286,4,8,0,8,0,0,2015,1.02,0,0.26,0.22,0,0.02,0.02,0.5,0,0,1,5,575.75,1035.75,8,45.0156980123715,2,575.75,1151.5,60,63.7584988519629,64.8785574985129,-45.8966565349544,111.68041684759
