"","week_no","Month","year_month","tot_gmv","tot_units","tot_product_mrp","total_orders","avg_cod","avg_prepaid","avg_early_del","avg_ontime_del","avg_delay_del","Year","Total.Investment","TV","Digital","Sponsorship","Content.Marketing","Online.marketing","X.Affiliates","SEM","Radio","Other","Holiday_week.x","NPS","avg_gmv","avg_mrp","avg_no_orders","avg_discount","avg_items","avg_order_value","value_visit","gmv_growth_lag1","gmv_growth_lag2","gmv_growth_lead1","gmv_growth_lead2","Holiday_week.y"
"1",1,7,"2015-7",169760,101,332966,99,1,99,26,4,70,2015,4.28,0.05,0.62,1.85,0,0.32,0.12,1.25,0,0,0,54.6,1697.6,3329.66,100,36.2422074572822,1.01010101010101,1662.93939393939,1714.74747474747,NA,NA,-15.8082648629987,-12.4331795485571,0
"2",2,7,"2015-7",11631146.1330905,8462,20260147,7937,5828,2310,6197,487,1454,2015,4.28,0.05,0.62,1.85,0,0.32,0.12,1.25,0,0,0,54.6,1429.23889568573,2489.57323666749,8138,38.1050679043706,1.02532442988535,1448.1659274819,1574.75577214873,18.7765044125467,NA,4.00880835743494,5.07569506995446,0
"3",3,7,"2015-7",12589459.3591979,8846,21962139,8383,6127,2342,6657,607,1205,2015,4.28,0.05,0.62,1.85,0,0.32,0.12,1.25,0,0,1,54.6,1486.53434398369,2593.23875309954,8469,39.0821078877686,1.01025885721102,1493.71520050872,1604.5704001017,-3.85429697805818,14.1985051923308,1.02576573019957,3.04222938488117,1
"4",4,7,"2015-7",12008254.5,8252,21632193,7899,5895,2101,6549,491,956,2015,4.28,0.05,0.62,1.85,0,0.32,0.12,1.25,0,0,0,54.6,1501.78270385193,2705.3768134067,7996,37.0837451790253,1.01228003544752,1509.40815293075,1623.61472417523,-1.01535061158457,-4.83051296170375,1.99598947863141,-50.7252282169736,0
"5",5,8,"2015-8",1397,3,2300,2,0,3,3,0,0,2015,1.02,0,0.26,0.22,0,0.02,0.02,0.5,0,0,0,60,1531.75812861272,3584.35928468208,5536,38.4577078453738,1.0115110542664,1540.40611486692,1641.1482485001,-1.95692937421777,-2.95241029143294,-51.6895007000744,-40.4496930926818,0
"6",6,8,"2015-8",8140,11,15621,10,6,5,11,0,0,2015,1.02,0,0.26,0.22,0,0.02,0.02,0.5,0,0,0,60,740,1420.09090909091,11,35.7934956079931,1.1,744.1,814,106.994341704421,102.943608628639,23.2657657657658,-57.9054054054054,0
"7",7,8,"2015-8",5473,6,14313,5,5,1,5,0,1,2015,1.02,0,0.26,0.22,0,0.02,0.02,0.5,0,0,1,60,912.166666666667,2385.5,6,54.057758066695,1.2,1034.8,1094.6,-18.8744746939521,67.9252470615074,-65.8505390096839,-43.4904215097893,1
"8",8,8,"2015-8",1246,4,2346,3,4,0,1,2,1,2015,1.02,0,0.26,0.22,0,0.02,0.02,0.5,0,0,1,60,311.5,586.5,4,46.2551958698807,1.33333333333333,295.666666666667,415.333333333333,192.8303905832,137.560192616372,65.4772194098037,322.702644575119,1
"9",9,8,"2015-8",6701,13,11659,7,9,4,13,0,0,2015,1.02,0,0.26,0.22,0,0.02,0.02,0.5,0,0,1,60,515.461538461538,896.846153846154,13,44.466677544603,1.85714285714286,499,957.285714285714,-39.568721086405,76.9611500771029,155.444614118332,175.070915172941,1
"10",10,9,"2015-9",20237151,15940,36673082,7383,11498,3876,11914,1296,2164,2015,24.07,0.98,0.35,15.7,0.15,4.1,1.25,1.55,0,0,0,46.9,1316.7187378515,2383.86458468317,15434,38.5800957477638,2.08229897463573,1325.87991545242,2813.15573089701,-60.8525705875028,-76.3427077442311,7.68319235163722,9.94385091619338,0
"11",11,9,"2015-9",23797778,17284,44459960,8086,12504,4280,13286,1366,2132,2015,24.07,0.98,0.35,15.7,0.15,4.1,1.25,1.55,0,0,0,46.9,1417.88477121068,2648.94899904671,16784,39.077009239086,2.07568637150631,1426.33979511914,3053.34590710803,-7.13499682155402,-63.6457384318046,2.09936064782889,-1.6377703583208,0
"12",12,9,"2015-9",22683248.0023558,16199,42960980.0016851,7570,11650,4019,13065,980,1624,2015,24.07,0.98,0.35,15.7,0.15,4.1,1.25,1.55,0,0,0,46.9,1447.65128612903,2741.78186238338,15669,39.2375642170101,2.06988110964333,1459.73826741659,3126.56760887055,-2.05619372590413,-9.0444811904699,-3.66028835287242,-16.2793636358671,0
"13",13,9,"2015-9",23296452,17170,45668392,8091,12699,4005,13560,982,2162,2015,24.07,0.98,0.35,15.7,0.15,4.1,1.25,1.55,0,0,0,46.9,1394.66307471264,2733.97940613027,16704,40.7181134423925,2.06451612903226,1401.23898982408,3001.73328179358,3.79935572807121,1.6650398880617,-13.0985188425888,-4.32433236788917,0
"14",14,10,"2015-10",6185598,4913,12217661,4694,3773,1039,4083,353,376,2015,42.55,1.52,3.15,21.18,0.85,6.1,1.75,7.97,0,0,0,44.4,1211.98286908078,2585.65849582173,14360,47.8963262505156,1.53140663325157,1227.54267356297,1925.65545474663,15.0728372728912,19.4448637072728,10.0967053240511,10.7602135831989,0
"15",15,10,"2015-10",10003646,7740,18254279,7314,5882,1615,6346,467,684,2015,42.55,1.52,3.15,21.18,0.85,6.1,1.75,7.97,0,0,0,44.4,1334.35320794985,2434.87781779378,7497,39.1773396195871,1.02502050861362,1336.23692006198,1435.86134634706,-9.17076064568252,4.51978279839861,0.602659504837031,10.0373643251489,0
"16",16,10,"2015-10",40486627.6018713,30992,117106909.260375,29229,22630,7530,23367,2603,4190,2015,42.55,1.52,3.15,21.18,0.85,6.1,1.75,7.97,0,0,1,44.4,1342.39481438565,3882.85508157741,30160,49.0080838076067,1.03185192787985,1358.30950028971,1464.51899446089,-0.599049277427954,-9.71487254772786,9.37818628925831,-3.80948390760725,1
"17",17,10,"2015-10",12819614.6772252,8956,22488527.5666766,8521,6984,1747,7698,468,565,2015,42.55,1.52,3.15,21.18,0.85,6.1,1.75,7.97,0,0,0,44.4,1468.28710081608,2575.71040736188,8731,39.4331105706955,1.02464499471893,1482.11521658943,1560.89305701026,-8.57409197155367,-9.12177821298002,-12.0569472252811,-8.90383387691012,0
"18",18,11,"2015-11",1682917,1432,3051132,1358,1120,273,1232,71,90,2015,10.24,0.84,0.26,2.84,0.04,3.92,1.32,1.04,0,0,0,47,1291.25649995508,2387.61055023441,11456,41.8443988891635,1.02450366660705,1297.40666668026,1382.36000967063,13.7099484778713,3.96035291457234,3.58540356388157,1.40690081248015,0
"19",19,11,"2015-11",17542010.9593033,13550,34357265,12829,10541,2574,9913,1226,1976,2015,10.24,0.84,0.26,2.84,0.04,3.92,1.32,1.04,0,0,1,47,1337.55325652332,2619.69233701868,13115,44.9934097995611,1.02229324187388,1343.56474596383,1439.63979969662,-3.46130192143378,9.7741038463454,-2.10309819380867,1.1115539045369,1
"20",20,11,"2015-11",13425516.050572,10465,25163680.2400048,9995,8013,2240,8874,583,796,2015,10.24,0.84,0.26,2.84,0.04,3.92,1.32,1.04,0,0,1,47,1309.42319814415,2454.27486979468,10253,41.4342569113333,1.02581290645323,1314.60637991342,1398.92842039929,2.14827860229144,-1.3873817276812,3.28371178151244,0.898799477415423,1
"21",21,11,"2015-11",10427165,7892,19687973,7523,6180,1530,6444,539,727,2015,10.24,0.84,0.26,2.84,0.04,3.92,1.32,1.04,0,0,0,47,1352.42088197147,2553.56329442283,7710,41.0035431316507,1.02485710487837,1358.16353405113,1452.65603232098,-3.17931232802598,-1.09933421217753,-2.30908849320025,3.0169479465152,0
"22",22,11,"2015-11",12213101.5010855,9489,22956889,9006,7373,1871,7850,540,854,2015,10.24,0.84,0.26,2.84,0.04,3.92,1.32,1.04,0,0,0,47,1321.19228700623,2483.43671570749,9244,40.4608351925657,1.02642682656007,1326.55281855164,1420.12808152157,2.36366767141847,-0.890793034278475,5.45192624120898,9.27017036747457,0
"23",23,12,"2015-12",11601517,8412,21488679,8024,6614,1634,6858,505,885,2015,26.68,1.35,0.78,14.18,0.28,5.62,1.7,2.8,0,0,0,45.8,1393.22271599835,2599.79030591153,9676,41.3841634916818,1.02684919876897,1400.37979323641,1495.04524786514,-5.17005846696279,-2.92859379612135,3.62083867252629,-1.4748822466974,0
"24",24,12,"2015-12",17276387.6756481,12228,34889163.759727,11637,9588,2379,8999,894,2074,2015,26.68,1.35,0.78,14.18,0.28,5.62,1.7,2.8,0,0,0,45.8,1443.66906289364,2915.44779474614,11967,45.7615473997918,1.02835782418149,1450.64385479644,1574.15833035518,-3.49431515794738,-8.48371548822435,-4.91766037073656,1.71466214341064,0
"25",25,12,"2015-12",13150220,9804,24496451,9357,7692,1888,7977,553,1050,2015,26.68,1.35,0.78,14.18,0.28,5.62,1.7,2.8,0,0,0,45.8,1372.67432150313,2557.04081419624,9580,42.6018188763608,1.02383242492252,1377.30120052723,1473.90943734589,5.17200185640264,1.49696065361766,6.97534635770151,-4.31116753826473,0
