Year,Start_Date,End_date,Sale_type
2015,18-07-2015,19-07-2015,Eid & Rathayatra sale
2015,15-08-2015,17-08-2015,Independence Sale
2015,28-08-2015,30-08-2015,Rakshabandhan Sale 
2015,15-10-2015,17-10-2015,Daussera sale 
2015,07-11-2015,14-11-2015,Big Diwali Sale
2015,25-12-2015,03-01-2016,Christmas & New Year Sale 
2016,20-01-2016,22-01-2016,Republic Day
2016,01-02-2016,02-02-2016,BED 
2016,20-02-2016,21-02-2016,FHSD
2016,14-02-106,15-02-2016,Valentine's Day 
2016,07-03-2016,09-03-2016,BSD
2016,25-05-2016,27-05-2016,Pacman
