"","Sales.Calendar","Year","start_week_no","end_week_no"
"1","Eid & Rathayatra sale (18-19th July)",2015,3,3
"2","Independence Sale (15-17th Aug)",2015,7,8
"3","Rakshabandhan Sale (28-30th Aug)",2015,9,9
"4","Daussera sale (17-15th Oct)",2015,16,16
"5","Big Diwali Sale (7-14th Nov)",2015,19,20
"6","Christmas & New Year Sale (25th Dec'15 - 3rd Jan'16)",2015,26,27
"7","Republic Day (20-22 Jan)",2016,30,30
"8","BED (1-2 Feb)",2016,32,32
"9","FHSD (20-21 Feb)",2016,34,34
"10","Valentine's Day (14-15 Feb)",2016,33,34
"11","BSD-5 (7-9 Mar)",2016,37,37
"12","Pacman (25-27 May)",2016,48,48
